fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,texto_matricula
113,car,0.7681992053985596,4,1428,321,1517,381,N/A,N/A
114,person,0.8457332253456116,3,45,241,170,488,N/A,N/A
114,car,0.7780101299285889,4,1428,321,1517,382,N/A,N/A
115,person,0.834296464920044,3,51,240,170,490,N/A,N/A
115,car,0.7961888313293457,4,1425,320,1517,382,N/A,N/A
116,person,0.8403893113136292,3,61,240,171,488,N/A,N/A
116,car,0.788412868976593,4,1424,321,1517,382,N/A,N/A
117,person,0.8089147210121155,3,74,239,172,485,N/A,N/A
117,car,0.7874796390533447,4,1421,321,1517,382,N/A,N/A
118,person,0.7905353903770447,3,87,238,173,482,N/A,N/A
118,car,0.797294020652771,4,1420,320,1517,382,N/A,N/A
119,person,0.752234160900116,3,95,238,174,481,N/A,N/A
119,car,0.7998875379562378,4,1420,320,1516,382,N/A,N/A
120,person,0.7274243235588074,3,101,240,180,479,N/A,N/A
120,car,0.7972294688224792,4,1418,321,1516,382,N/A,N/A
121,person,0.7708351612091064,3,107,240,184,478,N/A,N/A
121,car,0.7643488645553589,4,1419,321,1517,382,N/A,N/A
122,person,0.7686067819595337,3,111,241,191,480,N/A,N/A
122,car,0.7453324198722839,4,1417,321,1517,382,N/A,N/A
123,person,0.8113101720809937,3,113,242,200,479,N/A,N/A
123,car,0.7385415434837341,4,1418,321,1517,382,N/A,N/A
124,person,0.8044555187225342,3,115,245,207,477,N/A,N/A
124,car,0.7409299612045288,4,1420,321,1517,382,N/A,N/A
125,person,0.7918277382850647,3,116,248,213,477,N/A,N/A
125,car,0.7501513361930847,4,1421,321,1517,382,N/A,N/A
126,person,0.7937525510787964,3,121,247,217,475,N/A,N/A
126,car,0.745535671710968,4,1422,322,1517,381,N/A,N/A
127,person,0.8092525005340576,3,125,242,221,475,N/A,N/A
127,car,0.7442367076873779,4,1421,322,1516,381,N/A,N/A
128,person,0.8074815273284912,3,130,238,223,475,N/A,N/A
128,car,0.7416481375694275,4,1422,322,1516,382,N/A,N/A
129,person,0.7796028852462769,3,141,244,226,474,N/A,N/A
129,car,0.7359567880630493,4,1427,321,1516,381,N/A,N/A
130,person,0.7545526027679443,3,148,245,229,472,N/A,N/A
130,car,0.7176501750946045,4,1431,321,1516,381,N/A,N/A
