epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.8918,1.62424,2.85347,1.76005,0.00279,0.83784,0.44133,0.20175,1.57814,2.98508,2.04586,0.00036,0.00036,0.00036
2,78.7575,1.24904,1.96583,1.44028,0.0948,0.67568,0.37974,0.21571,2.0506,3.1989,2.61616,0.000735116,0.000735116,0.000735116
3,119.799,1.33965,1.77657,1.42784,0.60299,0.4516,0.42651,0.12815,3.01622,3.48231,3.99399,0.00110522,0.00110522,0.00110522
4,160.279,1.20072,1.591,1.35625,0.34407,0.10811,0.14904,0.0396,3.3321,3.56388,4.31231,0.0014703,0.0014703,0.0014703
5,205.236,1.26361,1.4313,1.39892,0.4318,0.2027,0.22534,0.1152,2.70637,3.36823,3.6667,0.00183037,0.00183037,0.00183037
6,247.92,1.33384,1.44786,1.44833,0.58056,0.2973,0.37028,0.1348,2.23743,3.15097,2.81903,0.001934,0.001934,0.001934
7,276.709,1.24159,1.36097,1.3512,0.49977,0.39189,0.39043,0.19239,1.96471,2.48281,2.63359,0.0019208,0.0019208,0.0019208
8,318.679,1.26239,1.39284,1.40241,0.49213,0.19654,0.18756,0.06023,3.61688,3.36396,4.4381,0.0019076,0.0019076,0.0019076
9,353.921,1.22559,1.25224,1.31447,0.00045,0.13514,0.0005,9e-05,5.22684,4.27929,6.91798,0.0018944,0.0018944,0.0018944
10,408.309,1.12431,1.11639,1.31833,0.51482,0.47297,0.38887,0.18609,2.08794,2.29908,2.62235,0.0018812,0.0018812,0.0018812
11,451.14,1.1364,1.10542,1.32792,0.74162,0.77579,0.69622,0.40494,1.78822,1.61011,2.14209,0.001868,0.001868,0.001868
12,487.397,1.16213,1.08352,1.34919,0.82779,0.67568,0.73815,0.43305,1.88186,1.23894,2.5069,0.0018548,0.0018548,0.0018548
13,536.735,1.09907,0.99579,1.30511,0.81532,0.77563,0.77329,0.50346,1.59908,1.47357,1.99467,0.0018416,0.0018416,0.0018416
14,574.744,1.09477,1.01503,1.2949,0.83211,0.66982,0.71941,0.43789,1.72694,2.41235,2.21647,0.0018284,0.0018284,0.0018284
15,593.601,1.08121,0.98454,1.2707,0.7476,0.78378,0.72498,0.4826,1.64828,1.69045,1.92453,0.0018152,0.0018152,0.0018152
16,631.978,1.03994,0.96944,1.2444,0.75963,0.78378,0.77941,0.52329,1.38909,1.58337,1.8815,0.001802,0.001802,0.001802
17,678.595,1.08107,0.97308,1.28233,0.85891,0.83784,0.82703,0.56272,1.62482,1.35303,2.04953,0.0017888,0.0017888,0.0017888
18,733.168,1.02776,0.97254,1.2846,0.68987,0.71622,0.71317,0.30204,1.72125,1.63914,2.09148,0.0017756,0.0017756,0.0017756
19,755.361,1.03134,0.95648,1.23815,0.8275,0.82432,0.83151,0.63244,1.28904,1.15066,1.79299,0.0017624,0.0017624,0.0017624
20,779.665,1.08103,0.93635,1.27792,0.85658,0.80717,0.81699,0.55919,1.42077,1.24688,1.82251,0.0017492,0.0017492,0.0017492
21,810.078,1.06334,0.93702,1.24124,0.84308,0.83784,0.8346,0.60445,1.50094,1.13258,1.94053,0.001736,0.001736,0.001736
22,833.887,1.00903,0.88935,1.25782,0.86068,0.83485,0.8323,0.52974,1.67026,1.28514,2.23009,0.0017228,0.0017228,0.0017228
23,857.637,1.0037,0.86921,1.205,0.88376,0.82197,0.85556,0.59169,1.42898,0.94662,1.94788,0.0017096,0.0017096,0.0017096
