epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,908.834,0.96404,0.851,1.26068,0.84482,0.77027,0.78298,0.51359,1.56068,1.26205,1.93377,0.0016964,0.0016964,0.0016964
25,962.488,1.00322,0.88417,1.26094,0.8347,0.82432,0.84073,0.52163,1.59247,1.23062,1.85783,0.0016832,0.0016832,0.0016832
26,989.654,0.98566,0.86318,1.18681,0.89498,0.72973,0.82615,0.57363,1.38195,1.1851,1.7225,0.00167,0.00167,0.00167
27,1041.16,0.95876,0.83408,1.25606,0.85781,0.83784,0.85759,0.5722,1.41341,1.12463,1.81352,0.0016568,0.0016568,0.0016568
28,1070.27,1.00178,0.88546,1.20643,0.78531,0.74324,0.81777,0.57524,1.36352,1.11472,1.76061,0.0016436,0.0016436,0.0016436
29,1094.58,0.98393,0.87938,1.2305,0.88221,0.81081,0.85149,0.644,1.15438,0.9863,1.67623,0.0016304,0.0016304,0.0016304
30,1134.47,0.97693,0.83907,1.20226,0.80608,0.77027,0.83522,0.63159,1.36743,1.05045,1.71477,0.0016172,0.0016172,0.0016172
31,1184.67,0.99436,0.84063,1.24822,0.91375,0.75676,0.81949,0.61042,1.23464,1.4226,1.7271,0.001604,0.001604,0.001604
32,1214.51,0.95825,0.85332,1.21684,0.92427,0.75676,0.86224,0.61713,1.26629,1.12721,1.64944,0.0015908,0.0015908,0.0015908
33,1241.65,0.92756,0.81324,1.18885,0.89223,0.78378,0.81922,0.6065,1.34872,1.23799,1.68249,0.0015776,0.0015776,0.0015776
34,1250.21,0.93984,0.83875,1.17914,0.83383,0.81081,0.87694,0.63226,1.26379,1.00624,1.72249,0.0015644,0.0015644,0.0015644
35,1267.3,0.9108,0.78545,1.13134,0.83469,0.78378,0.8537,0.63423,1.29943,1.01121,1.68641,0.0015512,0.0015512,0.0015512
36,1296.25,0.93965,0.82079,1.21393,0.84287,0.82432,0.85657,0.60368,1.32756,1.12735,1.8654,0.001538,0.001538,0.001538
37,1312.35,0.88022,0.74848,1.13316,0.88966,0.83784,0.87806,0.62769,1.33634,0.98568,1.86794,0.0015248,0.0015248,0.0015248
38,1346.64,0.86988,0.75452,1.20174,0.90976,0.83784,0.87856,0.63802,1.3035,0.91958,1.73729,0.0015116,0.0015116,0.0015116
39,1366.41,0.8965,0.75237,1.17885,0.88311,0.83784,0.86745,0.62328,1.34177,1.03796,1.80666,0.0014984,0.0014984,0.0014984
40,1391.85,0.89275,0.77179,1.18325,0.92329,0.81325,0.89594,0.60134,1.31643,1.1079,1.87769,0.0014852,0.0014852,0.0014852
41,1441.2,0.8896,0.76469,1.21653,0.89557,0.83784,0.86824,0.64373,1.29442,0.98509,1.79719,0.001472,0.001472,0.001472
42,1486.38,0.90129,0.78365,1.17573,0.85923,0.83784,0.89935,0.67268,1.29675,0.85398,1.76427,0.0014588,0.0014588,0.0014588
43,1510.68,0.88047,0.74161,1.17188,0.96744,0.80304,0.90396,0.68263,1.25116,0.85598,1.71172,0.0014456,0.0014456,0.0014456
44,1555.59,0.8912,0.75318,1.1853,0.89362,0.82432,0.89217,0.6536,1.30118,0.98757,1.72072,0.0014324,0.0014324,0.0014324
45,1605.92,0.8878,0.73535,1.21889,0.88261,0.81289,0.899,0.6787,1.18608,0.89869,1.65385,0.0014192,0.0014192,0.0014192
46,1637.73,0.87774,0.74779,1.15055,0.83345,0.83784,0.87163,0.65755,1.23,0.9431,1.65296,0.001406,0.001406,0.001406
47,1678.15,0.84824,0.71662,1.15721,0.90648,0.83784,0.87985,0.64664,1.25601,0.93322,1.70592,0.0013928,0.0013928,0.0013928
48,1696.78,0.81612,0.67474,1.14001,0.91963,0.83784,0.90531,0.64082,1.28214,0.89746,1.83014,0.0013796,0.0013796,0.0013796
49,1731.85,0.84273,0.72877,1.14316,0.89637,0.83784,0.84198,0.60586,1.32282,1.14476,1.72913,0.0013664,0.0013664,0.0013664
50,1761.69,0.85031,0.71472,1.16577,0.87714,0.7973,0.85748,0.6409,1.33754,1.06676,1.77882,0.0013532,0.0013532,0.0013532
51,1792.55,0.85802,0.71155,1.15099,0.91123,0.83784,0.87492,0.61301,1.39017,1.05417,1.93466,0.00134,0.00134,0.00134
52,1844.84,0.86276,0.73459,1.15698,0.85701,0.82432,0.88782,0.65884,1.26764,1.13178,1.67946,0.0013268,0.0013268,0.0013268
53,1877.05,0.84931,0.72311,1.14626,0.88527,0.83784,0.88832,0.6316,1.27861,0.96999,1.70062,0.0013136,0.0013136,0.0013136
54,1900.14,0.8566,0.70092,1.15301,0.89673,0.83784,0.87107,0.60724,1.29372,0.94627,1.69405,0.0013004,0.0013004,0.0013004
55,1935.97,0.83941,0.70191,1.16077,0.8837,0.83784,0.85699,0.63404,1.15053,1.03959,1.64162,0.0012872,0.0012872,0.0012872
56,1977.07,0.86096,0.69525,1.14835,0.83851,0.84203,0.88854,0.64935,1.22167,0.89474,1.64838,0.001274,0.001274,0.001274
57,2010.94,0.84509,0.71745,1.13496,0.87062,0.83784,0.90049,0.6618,1.1763,0.90828,1.69719,0.0012608,0.0012608,0.0012608
58,2045.15,0.82065,0.69847,1.12655,0.89666,0.82432,0.87652,0.66403,1.13126,0.96015,1.53932,0.0012476,0.0012476,0.0012476
